Total_Population,County_ID,Elderly_Population,County,Percent_Elderly
1393452,95,171557,Orange,12.31
375751,97,50781,Osceola,13.51
42022,51,5779,Hendry,13.75
293582,73,40786,Leon,13.89
29210,3,4117,Baker,14.09
957755,31,138594,Duval,14.47
1471968,57,214035,Hillsborough,14.54
269043,1,39272,Alachua,14.6
8354,77,1256,Liberty,15.03
15237,125,2317,Union,15.21
33739,129,5366,Wakulla,15.9
471826,117,75401,Seminole,15.98
210738,91,34376,Okaloosa,16.31
184313,113,30121,Santa Rosa,16.34
219252,19,35844,Clay,16.35
2716940,86,452607,Miami-Dade,16.66
1952778,11,334596,Broward,17.13
318316,33,54571,Escambia,17.14
25473,133,4380,Washington,17.19
8422,67,1455,Lafayette,17.28
26937,49,4695,Hardee,17.43
28201,7,5064,Bradford,17.96
14428,47,2664,Hamilton,18.46
174705,5,32535,Bay,18.62
45660,39,8540,Gadsden,18.7
14105,13,2670,Calhoun,18.93
71686,23,13809,Columbia,19.26
19617,59,3921,Holmes,19.99
42168,93,8482,Okeechobee,20.11
74071,131,14977,Walton,20.22
724777,105,148168,Polk,20.44
46414,63,9570,Jackson,20.62
264672,109,54654,St. Johns,20.65
18582,41,3838,Gilchrist,20.65
21569,123,4525,Taylor,20.98
18493,79,3902,Madison,21.1
44417,121,9650,Suwannee,21.73
38001,27,8558,DeSoto,22.52
553947,101,125451,Pasco,22.65
88625,89,20231,Nassau,22.83
16826,29,3984,Dixie,23.68
74521,107,17675,Putnam,23.72
74228,87,17628,Monroe,23.75
12125,37,2926,Franklin,24.13
601942,9,145752,Brevard,24.21
1496770,99,364544,Palm Beach,24.36
328297,111,80928,St. Lucie,24.65
14246,65,3511,Jefferson,24.65
553284,127,137811,Volusia,24.91
41503,75,10436,Levy,25.15
974996,103,247630,Pinellas,25.4
13639,45,3614,Gulf,26.5
367118,69,99386,Lake,27.07
193920,53,53348,Hernando,27.51
13811,43,3808,Glades,27.57
403253,81,113157,Manatee,28.06
770577,71,224632,Lee,29.15
365579,83,106675,Marion,29.18
115081,35,35896,Flagler,31.19
161000,85,50760,Martin,31.53
384902,21,126707,Collier,32.92
159923,61,54133,Indian River,33.85
106221,55,38289,Highlands,36.05
149657,17,54938,Citrus,36.71
433742,115,161948,Sarasota,37.34
188910,15,77072,Charlotte,40.8
132420,119,77034,Sumter,58.17
